ratio	n	bal1	wo1	bern1
0.75	4521		4.724873782946568e-08	2.905240916241261e-07
0.75	4521		5.841219176922117e-07	8.903088567160405e-07
0.75	4521		5.696801345382801e-06	3.8875751527169496e-07
0.75	4521		1.2953570617330635e-07	2.814855993224151e-06
0.75	4521		6.680056643342023e-08	4.837187703347226e-08
0.75	4521		1.6925460022463202e-07	1.0387196910313801e-05
1	4521		1.1024383209696275e-05	1.0848766164700862e-06
1	4521		9.732338234637925e-07	4.6560985321639224e-06
1	4521		8.018799691536491e-08	3.875731238900879e-06
1	4521		5.0569127135369355e-06	4.277485612013644e-06
1	4521		3.3469497933837616e-06	1.4005638794053988e-06
1	4521		9.519918307531496e-06	2.030308030285345e-06
1	4521		5.714302730884068e-07	1.2688334402599523e-06
1	4521		4.4759299394360547e-10	1.390650991215135e-08
1	4521		1.193998428684738e-07	1.6951436408273314e-06
1	4521		6.840702585222506e-09	1.567442078403106e-07
